"Title","WorkoutType","WorkoutDescription","PlannedDuration","PlannedDistanceInMeters","WorkoutDay","CoachComments","DistanceInMeters","PowerAverage","PowerMax","Energy","AthleteComments","TimeTotalInHours","VelocityAverage","VelocityMax","CadenceAverage","CadenceMax","HeartRateAverage","HeartRateMax","TorqueAverage","TorqueMax","IF","TSS","HRZone1Minutes","HRZone2Minutes","HRZone3Minutes","HRZone4Minutes","HRZone5Minutes","HRZone6Minutes","HRZone7Minutes","HRZone8Minutes","HRZone9Minutes","HRZone10Minutes","PWRZone1Minutes","PWRZone2Minutes","PWRZone3Minutes","PWRZone4Minutes","PWRZone5Minutes","PWRZone6Minutes","PWRZone7Minutes","PWRZone8Minutes","PWRZone9Minutes","PWRZone10Minutes","Rpe","Feeling"
"Zwift - 05. Endurance Ascent in Watopia","Bike","","","","2024-05-13","","36370.48046875","188","261","692.237","","1.01694440841675","9.93400001525879","","83","","142","167","","","0.77427629667546","60.82","1","11","26","23","0","","","","","","12","18","26","5","0","0","","","","","",""
"Zwift - Pacer Group Ride: Tempus Fugit in Watopia with Maria","Bike","","","","2024-05-14","","37349.98046875","162","292","586.671","","1.00388884544373","10.3339996337891","","83","","125","144","","","0.640373891447651","40.94","0","56","4","0","0","","","","","","11","46","4","0","0","0","","","","","",""
"Zwift - Time Trial in Watopia","Bike","","","","2024-05-15","","48430.01953125","195","288","923.53","","1.31083333492279","10.2620000839233","","81","","145","184","","","0.835497875551394","91.27","3","23","19","15","19","","","","","","12","32","11","21","3","0","","","","","",""
"Zwift - 30/30sec Anaerobic #3 in Watopia","Bike","","","","2024-05-17","","48466.75","186","505","902.724","","1.33472228050232","10.0860004425049","","83","","148","181","","","0.806211987326354","86.55","2","12","23","34","9","","","","","","33","22","7","1","15","3","","","","","",""
"Zwift - Jon's Mix in Watopia","Bike","","","","2024-05-19","","42320.44140625","189","675","798.926","","1.17111110687256","10.0380001068115","","83","","155","182","","","0.842134499230202","82.08","0","5","22","21","22","","","","","","19","26","20","1","0","4","","","","","",""
"Zwift - Pacer Group Ride: Triple Flat Loops in Watopia with Maria","Bike","","","","2024-05-21","","56480.0703125","159","411","903.483","","1.56833338737488","10.0030002593994","","84","","134","154","","","0.643705254105685","64.61","4","20","69","1","0","","","","","","30","51","9","2","1","0","","","","","",""
"Zwift - Saw Legs in Watopia","Bike","","","","2024-05-22","","45164.1484375","192","439","900.666","","1.29611110687256","9.67899990081787","","82","","149","178","","","0.805442522776114","83.58","3","10","21","32","12","","","","","","16","16","33","11","1","1","","","","","",""
"Zwift - Pacer Group Ride: Triple Flat Loops in Watopia with Maria","Bike","","","","2024-05-23","","37153.58984375","159","336","580.629","","1.01194441318512","10.1979999542236","","86","","125","141","","","0.636177630137768","40.51","1","51","9","0","0","","","","","","18","35","5","1","0","0","","","","","",""
"Zwift - Workout of the Week | Tabata Time in Watopia","Bike","","","","2024-05-24","","27484.359375","200","354","558.372","","0.770326375961304","9.90999984741211","","80","","146","178","","","0.841664073121914","54.12","2","4","23","11","6","","","","","","11","18","4","2","2","9","","","","","",""
"Zwift - Race Simulation in Watopia","Bike","","","","2024-05-26","","41921.30859375","203","338","864.184","","1.17916667461395","9.875","","78","","149","187","","","0.854057048098852","85.23","1","10","24","25","11","","","","","","10","22","18","12","8","1","","","","","",""
"Zwift - SST (Med) in Watopia","Bike","","","","2024-05-28","","51712.05078125","209","277","1072.183","","1.42083334922791","10.1090002059937","","76","","153","175","","","0.84416683910837","100.72","3","9","12","45","17","","","","","","4","19","32","30","1","0","","","","","",""
"Zwift - Workout of the Week | Build and Release in Watopia","Bike","","","","2024-05-29","","32348.240234375","204","413","658.074","","0.890555560588837","10.08899974823","","79","","139","179","","","0.855298229331137","64.84","3","20","13","12","6","","","","","","3","30","8","7","1","5","","","","","",""
"Zwift - Sub Threshold #2 in Watopia","Bike","","","","2024-05-30","","45190.98828125","196","331","888.629","","1.25472223758698","10.003999710083","","83","","151","175","","","0.820625145847001","84.24","0","4","35","21","15","","","","","","9","30","8","25","3","0","","","","","",""
